,en,fr
ingame.double_jump_unlocked,"Double jump has been unlocked","Tbt:ingame.double_jump_unlocked"
ingame.jump_unlocked,"Jump boots unlocked! You can now jump with the (A) button!","Bottes de saut débloqués! Tu peux maintenant sauter avec la touche (A)!"
ingame.beam_unlocked,"Beam has been unlocked! Use (X) to fire. Remember, you can only shoot when your feet touch the ground.","Le pistolet laser a été débloqué! Utiliser (X) pour tirer. N'oubliez pas, vous pouvez tirer uniquement lorsque vous êtes au sol."
ingame.hyperbeam_unlocked,"Hyperbeam has been unlocked, hold (X) to use it","L'hyper-laser a été débloqué, maintient (X) pour l'utiliser"
ingame.curbedbeam_unlocked,"Curved beam has been unlocked it","Tbt:ingame.curved_unlocked"
ingame.lvl_1_unlocked,"Green Card has been taken. You can pass through all the green force field","Carte verte récupérée. Tu peux maintenant traverser tous les champs de force vert"
ingame.lvl_2_unlocked,"Blue Card has been taken. You can pass through all the blue force field","Carte bleue récupérée. Tu peux maintenant traverser tous les champs de force bleu"
ingame.lvl_3_unlocked,"Red Card has been taken. You can pass through all the red force field","Carte rouge récupérée. Tu peux maintenant traverser tous les champs de force rouge"
ingame.lvl_4_unlocked,"Pink Card has been taken. You can pass through all the black force field","Carte rose récupérée. Tu peux maintenant traverser tous les champs de force rose"
ingame.save_data,"Save data?","Sauvegarder les données?"
ingame.save_data_completed,"Save completed","Sauvegarde complétée"
ingame.boss,"Defeat the Cacodeamon","Bat le Cacodeamon"
ingame.intro_title, "Emergency order", "Ordre prioritaire"
ingame.intro_description, "Bounty hunter Philémon, we need your help to Defeat the Cacodeamon. Help us! You will find your laser beam and jump boots on the mission field.", "Chasseur de prime Philémon, nous avons besoin de votre aide pour battre le Cacodeamon. Aidez-nous! Vous trouverez votre pistolet laser et vos bottes de saut sur place."
ingame.intro_author, "Galaxy Federal Police", "Police Fédéral Galaxique"
ingame.begin_mission, "Begin Mission","Commencer la Mission"
ingame.ending_title, "Mission accomplished!", "Mission accomplie!"
ingame.ending_description, "Bounty hunter Philémon, you defeated the Cacodeamon! You saved us all! And also, your uncle wish you a happy birthday!", "Chasseur de prime Philémon, vous avez battu le Cacodeamon. Vous nous avez tous sauvé! Et aussi, votre oncle vous souhaite un joyeux anniversaire!"
ingame.ending_mission, "Ending Mission","Terminer la Mission"
ingame.game_over,"Game Over", "Gamer Over"
ingame.restart,"Restart", "Recommencer"
ingame.quit,"Quit", "Quitter"
ingame.transmission_lost,"We lost transmission with Philémon !?", "Nous avons perdu les communications avec Philémon !?"

