,en,fr
input.jump,"Jump","Sauter"
input.jump_description,"JUMP - set the input to jump in the air","SAUTER - définis la touche pour sauter dans les airs"
input.move,"Move","Se déplacer"
input.move_up,"Move up","Haut"
input.move_up_description,"MOVE UP - set the input to move forward","HAUT - définis la touche pour avancer"
input.move_down,"Move down","Bas"
input.move_down_description,"MOVE DOWN - set the input to move backward","BAS - définis pour le déplacement vers l'arrière"
input.move_left,"Move Left","Gauche"
input.move_left_description,"MOVE LEFT - set the input to move left","GAUCHE - définis pour le déplacement à gauche"
input.move_right,"Move right","Droite"
input.move_right_description,"MOVE RIGHT - set the input to move right","DROITE - définis la touche pour le déplacement à droite"
input.pause,"Pause","Pause"
input.pause_description,"PAUSE - set the input to pause the game","PAUSE - définis la touche pour mettre en pause le jeu"
